Date,Tweet,likes_count,nlikes,nreplies,nretweets,replies_count,retweets_count
2013-04-08,New Tesla red going down assembly line for the first time. We spent a lot of time on this color!,,791.0,204.0,389.0,,
2013-04-08,"Sarah Palin calls Tesla a loser. Am deeply wounded. Btw, Model S warranty does cover ""bricking"".",,185.0,323.0,411.0,,
2013-04-09,Just had Texas BBQ for lunch in Capitol Building. About to head to House Committee hearing to advocate for Tesla in TX.,,76.0,86.0,41.0,,
2013-04-09,In TX to make the case for allowing Tesla to sell cars. Pls come to Capitol Room E2.014 at 1:30!,,48.0,34.0,140.0,,
2013-04-11,"New York judge just ruled in favor Tesla, dismissing the legal attack by auto dealers to prevent direct sales!",,343.0,118.0,482.0,,
2013-04-11,Yay for democracy! asks: Should Tesla Motors be able to sell directly to consumers?,,87.0,64.0,156.0,,
2013-04-17,"If you live in Texas and are pro Tesla, please vote in the opinion poll!",,41.0,45.0,170.0,,
2013-04-23,"Not all good news. Virginia DMV Commissioner just denied Tesla a dealer license, despite Hearing Officer being in favor.",,23.0,118.0,93.0,,
2013-04-25,Announcement of new strategy tomorrow. Tesla owners will like this.,,116.0,98.0,262.0,,
2013-04-25,"Thanks, important clarification. Tesla announcements are always about making product experience better. Market follows eventually.",,9.0,3.0,1.0,,
2013-04-30,Auto Dealer Sterling McCall makes the case for Tesla direct sales in Texas,,40.0,18.0,65.0,,
2013-05-02,Time to up the ante (and fix some mistakes). Tesla announcement tomorrow.,,103.0,89.0,238.0,,
2013-05-03,Tesla raises Model S resale value guarantee to highest in auto industry,,62.0,40.0,113.0,,
2013-05-05,Most people have never heard of Nikola Tesla. That will hopefully change over time.,,94.0,38.0,36.0,,
2013-05-06,"Anyone interested in doing ultra hardcore vehicle engineering at Tesla, please apply!",,146.0,228.0,316.0,,
2013-05-06,Chris Porritt from Aston Martin just joined as head of vehicle engineering at Tesla,,100.0,36.0,216.0,,
2013-05-07,"Tesla priority is electrification of cars, so priority is Model S, Model X, then mass market third gen vehicle &amp; truck",,191.0,100.0,245.0,,
2013-05-07,"Creating an autopilot for cars at Tesla is an important, but not yet top priority. Still a few years from production.",,143.0,73.0,167.0,,
2013-05-08,"Just want to say thanks to customers &amp; investors that took a chance on Tesla through the long, dark night. We wouldn't be here without you.",,1696.0,262.0,592.0,,
2013-05-09,There is a way for the Tesla Model S to be recharged throughout the country faster than you could fill a gas tank.,,288.0,349.0,480.0,,
2013-05-09,Totally agree. Tesla will circle back and do something cool for Roadsters next year.,,61.0,8.0,4.0,,
2013-05-12,"Tesla software knits together Google Voice, Slacker, Gracenote &amp; others and streams over 3G (will be LTE later)",,13.0,2.0,3.0,,
2013-05-22,Tesla wired the funds to repay the DOE loan today. Only US car company to have fully repaid govt,,734.0,241.0,1753.0,,
2013-05-23,Interview with about Tesla and DOE loan gets into some of the details,,88.0,34.0,99.0,,
2013-05-25,"Technically, I ""got rich"" from Zip2 &amp; PayPal w zero govt anything, then put 100% of that into SpaceX, Tesla &amp; SolarCity.",,344.0,93.0,279.0,,
2013-05-25,"Net of gas savings, a Tesla is $550 to $600/month with down payment taken care of by tax credits. Maybe less costly then it first seems.",,89.0,73.0,123.0,,
2013-05-25,"Me &amp; other private money funded Tesla for first 7 years, got IPO+ govt money for 3, now paid back. Yes, carbon tax would be a better way.",,95.0,42.0,144.0,,
2013-05-25,"Great article on Tesla-dealer battle by Leilani Munter (@CarbonFreeGirl), who lives in NC",,91.0,29.0,170.0,,
2013-05-26,You Can Fit A Lot Of Kindergartners In A Tesla Model S - Houston Chronicle,,89.0,52.0,132.0,,
2013-05-30,Huge expansion of Tesla Supercharger network underway. Will cover LA to NY by end of year,,265.0,174.0,560.0,,
2013-06-05,"Forgot to say one thing at Tesla annual shareholders meeting: just as my money was the first in, it will be the last out.",,3868.0,298.0,1477.0,,
2013-06-18,"Shai actually got the idea from a visit to Tesla. The idea is obvious (many things allow battery swap), but the technology is not.",,21.0,11.0,16.0,,
2013-06-18,"Video of battery pack swap will be posted to the Tesla website around 9:30pm, so those attending will see this first.",,72.0,37.0,126.0,,
2013-06-18,"Battery pack swap works with all Tesla Model S cars, past and present. It was always there.",,157.0,88.0,266.0,,
2013-06-20,Tomorrow night: fastest gas pump in LA vs Tesla battery pack swap,,334.0,109.0,425.0,,
2013-06-21,"The NY auto dealers lost in court, so now they are funding a bill in NY legislature to block Tesla",,5.0,2.0,15.0,,
2013-06-21,"Tesla pack swap vid still being edited (multiple camera angles). In meantime, this article contains a vid",,110.0,77.0,195.0,,
2013-06-25,Tesla service can do coating or can be done by any auto glass coating company. My car is done on side &amp; rear,,5.0,3.0,1.0,,
2013-07-02,"Woohoo, Tesla direct sales petition passed the 100k threshold! Thanks a lot to everyone that helped!!",,453.0,122.0,571.0,,
2013-07-23,"Oh yeah, well Tesla will study a plan to study the GM team that's studying Tesla, so there!",,545.0,224.0,824.0,,
2013-07-28,"One of the first Tesla Supercharger stations in Europe is being built in Cinderella, Norway #KatieWoodencloak",,268.0,152.0,416.0,,
2013-09-18,Intense effort underway at Tesla to develop a practical autopilot system for Model S,,565.0,194.0,944.0,,
2013-09-18,"Engineers interested in working on autonomous driving, pls email autopilot@teslamotors.com. Team will report directly to me.",,722.0,195.0,1710.0,,
2013-10-30,Tesla West Coast Supercharger network now energized. Travel from Vancouver to Tijuana in styel!,,193.0,63.0,419.0,,
2013-11-19,Mission of Tesla,,434.0,139.0,672.0,,
2013-11-19,"Why does a Tesla fire w no injury get more media headlines than 100,000 gas car fires that kill 100s of people per year?",,1901.0,1216.0,3697.0,,
2013-11-19,Tesla is also extending the Model S warranty to cover any fire damage even if due solely to a driver accident,,541.0,156.0,761.0,,
2013-11-21,Tesla Model S Consumer Reports customer satisfaction survey highest of any car on road at 99/100,,418.0,120.0,667.0,,
2013-12-02,"German govt reviews Tesla Model S fires. All due to high speed impacts, no injuries. Concludes: no defects, no recall",,448.0,107.0,661.0,,
2014-01-23,Tesla policy is to charge the same price (+ taxes &amp; shipping) everywhere in the world,,538.0,168.0,543.0,,
2014-01-26,"Tesla Supercharger network now energized from New York to LA, both coast + Texas! Approx 80% of US population covered.",,654.0,105.0,859.0,,
2014-01-26,"Two teams from Tesla aiming to set a cross-country EV speed record this week. Departing Fri from LA, arriving Sun in NY.",,335.0,97.0,375.0,,
2014-01-30,Tesla cars are now in all 50 US states (map credit Edmunds)!,,1172.0,249.0,1087.0,,
2014-02-02,Tesla LA to NY Supercharger rally just completed in 76 hours across northern route in dead of winter thru heavy snow!,,1094.0,220.0,1194.0,,
2014-02-07,"Value is holding up ""Tesla car is worth more used than new | MNN -",,449.0,86.0,512.0,,
2014-02-09,"Tesla V6 software upload coming soon. Need to make sure it is ""awesome"" - Lord Business",,544.0,150.0,351.0,,
2014-03-11,New Jersey auto dealers subverting democratic process to try to block Tesla sales,,465.0,216.0,1253.0,,
2014-03-14,Just discovered a great Tesla ad made by 2 recent college grads. I love it!,,1355.0,191.0,1362.0,,
2014-03-14,"Yes, I'm confident that Tesla will do something with them.",,59.0,9.0,7.0,,
2014-04-01,Announcing a revolutionary Tesla driving technology,,604.0,120.0,652.0,,
2014-04-07,"Bloomberg article today also has oddly false details. I don't eat breakfast at Tesla and drink coffee, not juice.",,519.0,98.0,285.0,,
2014-04-08,"Also, breakfast at Tesla is self-serve cereal (no distinction for execs) and the person mentioned isn't actually an employee",,226.0,59.0,83.0,,
2014-04-08,Tesla US business leasing program went live today,,280.0,50.0,250.0,,
2014-05-25,Prince Albert &amp; Princess Charlene drove a Tesla around the track to open Monaco! The honor is much appreciated :),,2098.0,121.0,1444.0,,
2014-06-12,Regarding Tesla patents,,3828.0,1126.0,6303.0,,
2014-06-17,"Edmunds beats Tesla LA-NY record by several hours! “@edmunds: Made it! Our Model S made LA-NY run in 67 hrs and 21 mins""",,490.0,63.0,323.0,,
2014-07-01,Tesla Model S named top model in perceived quality via,,547.0,68.0,429.0,,
2014-07-10,Tesla Superchargers delivered over 1GWh last month. Long distance driving growing exponentially,,683.0,110.0,642.0,,
2014-09-08,Handing over the first Tesla Model S cars in Japan,,1606.0,111.0,825.0,,
2014-09-20,Calendar app w tap to nav &amp; traffic predictor in Tesla V6.0 release will radically improve how the car adapts to the owner over time,,574.0,88.0,337.0,,
2014-10-09,Just got word that the cumulative miles of the worldwide Tesla fleet passed half a billion!,,2034.0,255.0,1040.0,,
2014-10-28,Article in re Tesla sales is incorrect. September was a record high WW and up 65% year-over-year in North America.,,991.0,143.0,664.0,,
2014-10-28,"Also, lease price improvement is due to US Bank deal. It is *not* a discount. Revenue to Tesla is unchanged.",,545.0,64.0,251.0,,
2014-11-18,Tesla comic book,,1283.0,111.0,642.0,,
2014-11-19,"Rumors about canceling Falcon wing doors are false. At Tesla, the production car will always be better than the show car.",,2231.0,127.0,1228.0,,
2014-11-21,About the Nevada deal with Tesla ...,,523.0,69.0,383.0,,
2014-12-19,Pack swap now operating in limited beta mode for SF to LA route. Can swap battery faster than visiting a gas station. Tesla blog out soon.,,1078.0,103.0,832.0,,
2014-12-19,Tesla fast battery swap details,,823.0,81.0,654.0,,
2015-01-29,Tesla P85D 0 to 60mph acceleration will improve by ~0.1 sec soon via over-the-air software update to inverter algorithm,,3823.0,461.0,3412.0,,
2015-01-29,Tesla dual motor cars are also all-wheel drive. Main goal of dual motor was actually insane traction on snow. Insane speed was a side effect,,2412.0,157.0,1510.0,,
2015-02-24,Tesla Model S rated by as best car in world for 2nd year in a row,,2026.0,183.0,1609.0,,
2015-03-16,Some people seem to think I tweet to affect share price. This is false. A brief rise in $TSLA stock obviously does no good for Tesla or me.,,1413.0,139.0,619.0,,
2015-03-17,"To be clear, Tesla is strongly in favor of people being allowed to drive their cars and always will be. Hopefully, that is obvious.",,1613.0,134.0,696.0,,
2015-03-18,Thanks to everyone that supported Tesla in New Jersey! We couldn't have done it without you.,,1581.0,165.0,669.0,,
2015-03-30,"Major new Tesla product line -- not a car -- will be unveiled at our Hawthorne Design Studio on Thurs 8pm, April 30",,5260.0,1011.0,6160.0,,
2015-04-01,Announcing the amazing Tesla Model W,,1978.0,357.0,1592.0,,
2015-04-09,Testing of the high performance version of the Tesla Model S by,,731.0,68.0,391.0,,
2015-04-11,"Just announced new Tesla 70D all-wheel drive, 240 mile range car for ~$55k (after gas savings &amp; incentives)",,2028.0,181.0,1452.0,,
2015-05-01,"For more info on Tesla Energy, check out press kit. $250/kWh for utility scale is the real kicker",,1376.0,165.0,1181.0,,
2015-05-02,Last night's Tesla Powerwall and Powerpack unveiling,,3567.0,337.0,2925.0,,
2015-05-04,Very funny post of a Tesla owner test driving a gasoline car,,2352.0,186.0,2356.0,,
2015-06-15,SpaceX/Tesla will also do a reference pod to be shown after the competition. Bonus for all racing teams that exceed reference.,,889.0,40.0,451.0,,
2015-06-19,Tesla service team helps save a stray kitten that took refuge in a Model S. Nice work guys!,,1630.0,139.0,811.0,,
2015-08-06,Tesla Snakebot autocharger prototype. Does seem kinda wrong :),,2924.0,339.0,2253.0,,
2015-10-10,Tesla P85D (assembled in Tilburg) beats 650 hp MacLaren from 0 to 150km/h in Dutch magazine test,,1768.0,118.0,1090.0,,
2015-10-11,Some exciting news this week: Tesla Version 7 software with Autopilot goes to wide release on Thursday!,,3481.0,232.0,2079.0,,
2015-10-21,Congrats on driving a Tesla from LA to NY in just over two days!,,1104.0,45.0,441.0,,
2015-10-21,"Tesla gets top rating of any company in service. Most important, CR says 97% of owners expect their next car to be a Tesla (the acid test).",,2148.0,147.0,896.0,,
2015-10-23,"important to set AC to not recirc (air exits thru rear) and use the snap in shade, which Tesla service can provide",,52.0,6.0,4.0,,
2015-10-25,My comments in China weren't transcribed correctly. Tesla will keep making cars &amp; batteries in CA &amp; NV as far into future as I can imagine.,,1506.0,87.0,533.0,,
2015-10-27,"Compliment from Jeffrey is much appreciated, but the people of Tesla deserve all the credit",,1249.0,90.0,226.0,,
2015-11-20,"Ramping up the Autopilot software team at Tesla to achieve generalized full autonomy. If interested, contact autopilot@teslamotors.com.",,2925.0,201.0,1850.0,,
2015-12-19,This article does not appreciate that Tesla is in California despite taxes net of rebates being higher. Incentives only a partial offset.,,989.0,92.0,195.0,,
2016-01-10,First baby step in Tesla Summon capability now downloading over-the-air with V7.1,,3380.0,127.0,1496.0,,
2016-02-10,Love this Tesla video made by,,3813.0,136.0,1655.0,,
2016-02-10,Should mention that Tesla Motors itself had nothing to do with the short movie. This was completely independent.,,1259.0,98.0,182.0,,
2016-02-11,Model 3 reservations ($1000 down) will be accepted in Tesla stores on March 31 and online April 1,,5740.0,499.0,3240.0,,
2016-02-16,"yes, this was done jointly with Tesla and Radio Flyer",,128.0,6.0,18.0,,
2016-03-06,"SpaceX and Tesla rated most meaningful work in high tech. Also, most stressful, but that goes with the territory.",,5397.0,169.0,2326.0,,
2016-03-06,"SpaceX &amp; Tesla comp is same or better than other companies. Big diff is that we don't outsource manufacturing, retail sales or service.",,4331.0,158.0,1257.0,,
2016-03-20,Tesla charger map,,2520.0,165.0,921.0,,
2016-04-01,"Hi Alyssa, thanks for placing your faith in Tesla. I hope you have a great experience with the car.",,363.0,3.0,33.0,,
2016-04-02,Maybe 1/4 to 1/2 of what happened. No one at Tesla thought it would be this high before part 2 of the unveil.,,475.0,46.0,109.0,,
2016-04-02,"We are working on an exact date, but Tesla will be in India before 3 production starts.",,636.0,69.0,334.0,,
2016-04-03,"Model 3 will be RWD, with dual motor AWD optional. Even RWD will have great traction on ice due to fast torque response of Tesla drivetrain.",,4625.0,235.0,1290.0,,
2016-04-04,Coming soon for all Tesla cars. Just an OTA software update.,,450.0,16.0,39.0,,
2016-04-08,SolarCity panels produce enough zero carbon energy to charge entire Tesla fleet,,4480.0,202.0,1927.0,,
2016-04-09,"Just wanted to write a note of appreciation for all those who have supported Tesla, SpaceX &amp; SolarCity over the years. Thank you.",,32812.0,1277.0,6045.0,,
2016-04-20,That article was incredibly misleading and you should know it. Wager right now that Sun has received far more than Tesla?,,383.0,51.0,44.0,,
2016-04-29,Simple answer is that there just aren't many used Teslas available. Demand &gt;&gt; supply.,,90.0,6.0,13.0,,
2016-05-05,"Tesla is increasing the production ramp as fast as possible, but I'd recommend ordering a Model 3 soon if you want 2018 delivery",,6665.0,423.0,2191.0,,
2016-05-14,Excited to announce Tesla's entry into automotive racing!,,3065.0,133.0,909.0,,
2016-05-18,"Yes, but it is false of Merc News to say that Tesla took advantage of low cost labor. We paid $55/hr. That is unequivocal.",,340.0,11.0,51.0,,
2016-05-18,Merc News story about Tesla using $5/hr labor seems to be missing a digit. Tesla actually paid $55/hr.,,6374.0,209.0,1906.0,,
2016-05-18,"Per the letter, Tesla paid $55/hr for *additional* services, so no.",,121.0,6.0,10.0,,
2016-06-01,Good summary of Tesla annual meeting by,,2490.0,91.0,1051.0,,
2016-06-04,Good article from explaining how little incentives have actually contributed to Tesla funding,,1683.0,61.0,485.0,,
2016-06-08,Would like to clarify that Tesla is working exclusively with Panasonic for Model 3 cells. News articles claiming otherwise are incorrect.,,5411.0,159.0,1566.0,,
2016-06-19,Tesla owner drives through a flooded tunnel &amp; out the other side,,4560.0,185.0,2304.0,,
2016-06-29,Thoughtful analysis of the Tesla/SolarCity merger by,,2475.0,120.0,1131.0,,
2016-07-06,"All publicly known Tesla product developments are called out, incl vehicles and batteries. Would be odd *not* to include.",,102.0,2.0,7.0,,
2016-07-06,"Tesla Tesla Autopilot is named after aircraft autopilot, as it is always expected that a pilot must stay alert.",,272.0,18.0,71.0,,
2016-07-06,Tesla response to the misleading Fortune articles about Autopilot,,3874.0,202.0,1630.0,,
2016-07-10,"It is extensively tested in the lab and in the Tesla test fleet. However, there is no substitute for real world experience.",,158.0,10.0,15.0,,
2016-07-10,Kinda. Creating a seamlessly integrated Tesla battery &amp; solar power product that looks beautiful is the reason,,4234.0,188.0,1184.0,,
2016-07-10,"Misunderstanding of what ""beta"" means to Tesla for Autopilot: any system w less than 1B miles of real world driving",,2094.0,193.0,665.0,,
2016-07-10,Today is Nikola Tesla's birthday. I hope he likes what we've done in his name.,,32359.0,566.0,11308.0,,
2016-07-10,"Working on Top Secret Tesla Masterplan, Part 2. Hoping to publish later this week.",,12485.0,704.0,3427.0,,
2016-07-12,"Tesla finishes last in being salesy! Good. Also, I can't believe there is a real Pied Piper.",,5654.0,261.0,1421.0,,
2016-07-15,"Working on using existing Tesla radar by itself (decoupled from camera) w temporal smoothing to create a coarse point cloud, like lidar",,6171.0,361.0,1972.0,,
2016-07-17,"Tesla customers are v smart &amp; don't want media speaking on their behalf abt Autopilot. Recent poll: 0.0% want it disabled -- not 0.1%, 0.0%.",,5607.0,194.0,1780.0,,
2016-07-17,Great rebuttal by a Tesla owner to those calling for Autopilot to be disabled. Was written with zero input from us.,,3405.0,135.0,1035.0,,
2016-07-17,Have to focus on tonight's launch. Will post Tesla (master) product plan afterwards.,,3895.0,247.0,865.0,,
2016-07-17,"Btw, want to thank both Bosch and MobilEye for their help and support in making Autopilot better. Please direct all criticism at Tesla.",,2508.0,83.0,384.0,,
2016-07-18,"Thanks. Exactly. Some in the press think they're so much smarter than Tesla owners that ""they know better"". Makes no sense.",,418.0,28.0,51.0,,
2016-07-19,"Will be working at Tesla on Autopilot &amp; Model 3 today, then aiming to pull an all-nighter and complete the master product plan",,11139.0,788.0,2083.0,,
2016-07-20,Post should go live on Tesla website around 5pm,,2943.0,299.0,627.0,,
2016-07-21,"Tesla Master Plan, Part Deux",,20408.0,1172.0,11187.0,,
2016-07-21,"Jerome is driving Tesla Semi &amp; doing a great job with his team. At Daimler, he led their most successful semi truck program ever.",,424.0,25.0,52.0,,
2016-07-29,Some good guessing by The Tesla Minibus will be built on a Model X chassis. People density potential is surprisingly high.,,4401.0,192.0,1064.0,,
2016-07-31,Model Y (compact SUV) off Model 3 chassis. Tesla Bus/Minibus/Spacebus off Model X.,,637.0,58.0,136.0,,
2016-08-23,Tesla product announcement at noon California time today,,12264.0,631.0,4355.0,,
2016-08-31,Writing post now with details. Will publish on Tesla website later today.,,1792.0,103.0,261.0,,
2016-09-13,Comprehensive study by Autolist shows that a Tesla retains its value far better than gasoline sedans,,4170.0,105.0,1242.0,,
2016-09-13,"Tesla Model S loses 28% after 50k miles, a Mercedes S-Class will lose 38%, a BMW 7-series will lose 40%, and an Audi A8 will lose 41%.",,3439.0,192.0,1084.0,,
2016-09-16,Tesla P100D put to the test by Drag Times,,2822.0,100.0,836.0,,
2016-09-21,"also, the Tesla is poison free!",,660.0,17.0,58.0,,
2016-09-21,Tesla keeps temp below 40C/105F by automatically venting cabin &amp; turning on AC when needed. Can do this for up to a year on a full charge.,,4478.0,179.0,1207.0,,
2016-09-22,Aiming for Oct 28 unveil in SF Bay Area of new Tesla/SolarCity solar roof with integrated Powerwall 2.0 battery and Tesla charger.,,7831.0,389.0,2518.0,,
2016-09-22,"Tesla is sometimes criticized for government support, but all US car companies (plus some non) got loans and only Tesla has paid its back",,13431.0,316.0,5373.0,,
2016-09-23,Good Forbes article on Tesla/SolarCity merger,,3452.0,132.0,1217.0,,
2016-09-28,Something messed up here. Tesla policy is equal pricing for all. No discounts ever unless a car is a floor model or was damaged.,,232.0,8.0,18.0,,
2016-10-07,Cumulative Tesla Autopilot miles now at 222 million,,8621.0,327.0,2030.0,,
2016-10-09,Would also like to correct expectations that Tesla/SolarCity will need to raise equity or corp debt in Q4. Won't be necessary for either.,,5187.0,196.0,982.0,,
2016-10-09,"Tesla product unveiling on the 17th (unexpected by most), followed by Tesla/SolarCity on the 28th",,12245.0,646.0,4802.0,,
2016-10-10,"Real fraud going on is denial of climate science. As for ""subsidies"", Tesla gets pennies on dollar vs coal. How about we both go to zero?",,25606.0,617.0,10927.0,,
2016-10-10,Coal-mining CEO: 'Tesla is a fraud' via,,2236.0,380.0,671.0,,
2016-10-16,Moving the Tesla announcement to Wednesday. Needs a few more days of refinement.,,7933.0,606.0,1767.0,,
2016-10-19,Tesla announcement goes live at 5pm California time. 30 minutes of media Q&amp;A to follow.,,6588.0,658.0,2495.0,,
2016-10-19,Tesla does 0-60 mph in 2.7 seconds in the rain via,,4162.0,163.0,1296.0,,
2016-10-20,"Tesla drives itself (no human input at all) thru urban streets to highway to streets, then finds a parking spot",,18262.0,875.0,11736.0,,
2016-10-20,Will post video of a Tesla navigating a complex urban environment shortly. That was what took the extra couple of days.,,9891.0,422.0,2280.0,,
2016-10-20,Tesla expects to demonstrate self-driven cross-country trip next year via,,4438.0,202.0,1856.0,,
2016-10-29,"Should mention that the Tesla solar roof is robust against any weather, incl heavy hail. Also, higher insulating value than a standard roof.",,13877.0,836.0,3912.0,,
2016-11-04,Here is how to vote your Tesla and SolarCity shares:,,1617.0,149.0,345.0,,
2016-11-04,"Institutional Shareholder Services, world's top independent evaluator, recommends in favor of Tesla-SolarCity merger",,1766.0,53.0,463.0,,
2016-11-05,"Tesla will def absorb SolarCity debt. Altho extremely unlikely, I would pay it personally if need be. Debts must be honored.",,1022.0,44.0,228.0,,
2016-11-06,Playing Amish Paradise in my Tesla,,20202.0,679.0,4911.0,,
2016-11-17,Vote tally shows ~85% of unaffiliated shareholders in favor of the Tesla/SolarCity merger! Thanks for believing.,,14866.0,429.0,2599.0,,
2016-11-19,Tesla self-driving AI with the Benny Hill option package,,5441.0,248.0,2377.0,,
2016-12-18,Tesla software team is working seven days a week to complete testing and validation. Getting close.,,656.0,44.0,72.0,,
